IN_TREINEIRO,CO_UF_RESIDENCIA,TP_ANO_CONCLUIU,TP_ESCOLA,label
0,25,7,1,1
0,41,3,1,1
0,29,1,1,1
0,15,1,1,1
0,53,10,1,0
0,23,2,1,1
0,23,10,1,0
0,23,1,1,1
0,35,9,1,0
0,35,5,1,1
0,33,1,1,1
0,24,0,1,0
0,32,10,1,0
0,24,10,1,1
1,31,0,1,0
0,26,10,1,1
1,32,0,1,1
0,53,1,1,0
0,50,4,1,1
0,25,8,1,0
0,52,1,1,1
0,33,4,1,1
0,23,0,1,1
0,29,5,1,0
0,35,10,1,0
0,26,2,1,1
0,28,0,2,1
0,51,6,1,1
0,35,5,1,1
0,15,10,1,0
0,22,3,1,1
0,43,1,1,1
0,35,0,1,1
0,27,9,1,1
0,33,5,1,1
0,41,8,1,1
0,31,3,1,1
0,35,9,1,0
0,41,0,1,1
0,31,5,1,1
0,29,1,1,1
0,23,4,1,1
0,31,5,1,0
0,52,5,1,1
0,35,1,1,0
0,35,3,1,0
0,33,1,1,1
0,23,10,1,0
0,35,1,1,1
0,53,0,1,0
0,31,6,1,0
0,27,1,1,1
0,33,4,1,1
0,17,3,1,0
0,23,0,1,1
0,23,10,1,1
0,33,10,1,0
0,53,1,1,1
0,35,10,1,0
0,35,9,1,1
0,43,2,1,1
0,32,0,1,1
0,33,5,1,0
0,26,6,1,1
0,43,3,1,0
0,23,1,1,1
0,31,4,1,1
0,31,7,1,1
0,23,1,1,1
0,35,0,1,1
0,24,3,1,1
0,31,5,1,0
0,35,1,1,1
0,43,3,1,1
0,35,5,1,1
0,33,1,1,1
0,23,1,1,1
0,28,3,1,1
0,31,4,1,0
0,35,10,1,1
0,52,5,1,0
0,31,8,1,0
0,35,2,1,0
0,43,1,1,1
0,41,7,1,0
0,35,3,1,1
0,35,2,1,1
0,31,6,1,1
0,35,5,1,0
0,35,8,1,1
0,23,0,3,1
0,13,10,1,1
0,33,3,1,1
0,31,10,1,0
0,35,1,1,0
0,33,3,1,0
0,35,5,1,1
0,35,0,1,1
0,35,1,1,1
0,43,10,1,0
0,26,3,1,1
0,15,1,1,1
0,31,9,1,1
0,31,7,1,1
0,43,3,1,1
0,29,4,1,0
0,31,6,1,1
0,23,7,1,1
0,35,7,1,0
0,43,2,1,0
0,31,6,1,0
0,43,5,1,0
0,13,2,1,1
0,23,10,1,0
0,32,10,1,1
0,32,1,1,1
0,26,0,2,1
0,50,0,1,1
0,23,1,1,1
0,24,9,1,1
0,29,1,1,0
0,23,3,1,1
0,41,10,1,1
0,35,2,1,1
0,50,7,1,1
0,43,10,1,0
0,33,0,1,1
0,31,10,1,0
0,31,3,1,0
0,25,2,1,1
0,43,2,1,0
0,22,4,1,0
0,31,10,1,1
0,43,8,1,0
0,21,2,1,1
0,52,0,2,1
0,43,1,1,1
0,33,3,1,1
0,35,6,1,1
0,35,3,1,0
0,22,3,1,0
0,31,1,1,1
0,31,5,1,0
0,35,7,1,0
0,41,3,1,1
0,35,10,1,1
0,32,5,1,0
1,23,0,1,1
0,35,10,1,1
0,33,0,3,1
0,21,0,1,0
1,31,0,1,1
0,42,2,1,1
0,31,5,1,0
0,29,2,1,0
0,41,1,1,1
0,41,4,1,0
0,52,10,1,1
0,41,10,1,0
0,23,6,1,1
0,35,2,1,1
0,23,8,1,0
0,31,0,1,1
0,26,7,1,1
0,35,2,1,0
0,41,10,1,0
0,41,2,1,0
0,33,0,3,1
0,31,10,1,0
0,35,8,1,0
0,29,3,1,0
0,31,2,1,1
0,29,7,1,0
1,23,0,1,1
0,51,7,1,1
0,31,10,1,0
0,35,1,1,1
0,25,10,1,1
0,31,2,1,0
0,35,6,1,0
0,31,10,1,1
0,43,0,3,1
0,35,8,1,0
0,23,10,1,0
0,23,2,1,1
0,35,10,1,0
0,15,5,1,1
0,33,0,3,1
0,35,2,1,1
0,23,2,1,0
0,23,10,1,1
0,29,5,1,0
0,43,3,1,0
0,29,7,1,1
0,35,3,1,1
0,21,4,1,1
0,24,8,1,0
0,23,10,1,1
0,32,6,1,0
0,35,5,1,1
0,33,1,1,0
0,31,5,1,0
0,33,4,1,1
0,31,1,1,1
0,15,5,1,0
1,35,0,1,1
0,35,2,1,1
0,31,9,1,0
0,31,0,1,1
0,35,7,1,1
0,29,1,1,1
0,35,10,1,1
0,35,1,1,1
0,41,10,1,0
0,43,3,1,1
0,33,10,1,1
0,43,6,1,1
0,52,1,1,1
0,43,1,1,1
0,28,5,1,1
0,31,4,1,1
0,29,10,1,1
0,41,3,1,1
0,31,8,1,0
0,35,1,1,1
0,27,4,1,0
0,29,0,1,1
0,33,10,1,0
0,21,10,1,1
0,29,10,1,1
0,43,6,1,0
0,27,4,1,0
0,24,2,1,0
0,26,4,1,1
0,43,0,2,1
0,42,8,1,1
0,29,2,1,1
0,43,9,1,1
0,41,0,3,1
0,26,2,1,1
0,23,9,1,1
0,32,1,1,1
